domain,score,domain_pop,backlinks,wikipedia_links,archive_first_year,archive_captures,other_tlds_registered,majestic_rank,whois_created,length,sources
erobomba.com,49.8,61,1861,0,2005,93,0,0,2025,8,"core2,short"
ijomdas.com,49.8,15,40,2,2013,83,0,0,2023,7,wiki
qmlyw.com,49.8,13,26141,0,2012,39,2,0,2025,5,tldreg
vavypoika.com,49.6,12,9,1,2005,63,0,0,2025,9,wiki
vestisrbija.com,49.4,28,492,1,2009,98,1,0,2024,11,wiki
nootherrock.com,49.4,15,271,0,2007,57,3,0,2025,11,tldreg
gyvunams.com,49.4,12,48,0,2007,56,2,0,2025,8,tldreg
cqgdaz.com,49.2,602,852,0,2012,47,0,0,2025,6,"core1,short"
cambodianrock.com,49.2,18,56,1,2007,80,0,0,2024,13,wiki
emdirectory.com,49.1,70,198,0,1999,258,0,0,2025,11,"core2,tf"
bepgallery.com,49.1,41,334,1,2010,149,0,0,2025,10,wiki
mirfarm.com,48.8,11,45,1,2010,55,2,0,2025,7,tldreg
techwev.com,48.8,57,116,0,2002,126,0,0,2025,7,short
tittaycitay.com,48.7,71,406,1,2007,329,0,0,2019,11,"core2,wiki,tf"
egssoft.com,48.7,11,12,0,2008,23,4,0,2001,7,tldreg
nkzalec.com,48.7,59,130,0,2004,130,1,0,2025,7,short
dayultax.com,48.6,60,94,2,2011,117,0,0,2025,8,"wiki,short"
hwhmag.com,48.6,59,135,0,2003,221,0,0,2025,6,short
sswriting.com,48.5,119,16543,0,2011,49,0,0,2025,9,core1
hotelmasaccio.com,48.5,11,20,0,2004,91,3,0,2024,13,tldreg
aqqqr.com,48.5,61,99197,0,2010,99,1,0,2025,5,short
disnaikid.com,48.4,286,4995,0,2011,45,0,0,2010,9,"core1,tf"
borisdeleeuwe.com,48.4,11,60,0,2004,95,2,0,2025,13,tldreg
finanzturbo.com,48.4,11,32,0,2004,251,2,0,2024,11,tldreg
gazetebaskent.com,48.3,108,404,0,2008,97,0,0,2025,13,"core1,tf"
aaiskhobar.com,48.2,14,21,2,2011,124,0,0,2025,10,wiki
skylinesongs.com,48.2,12,41,1,2007,104,0,0,2025,12,wiki
pakupdate.com,48.2,37,39,0,2008,131,2,0,2025,9,tldreg
labrodeuse.com,48.2,10,58,0,2007,59,3,0,2025,10,tldreg
mpatrance.com,48.1,88,38,0,2006,78,0,0,2025,9,"core1,tf"
besteguide.com,48.1,74,159,0,2001,152,0,0,2025,10,"core2,tf"
rireba.com,48.0,84,29,0,2004,54,2,0,2019,6,"core1,tldreg,short"
toplesscuties.com,48.0,67,4980,0,2004,133,0,0,2025,13,core2
akdfood.com,47.9,53,111,1,2012,62,0,0,2025,7,wiki
yjqzj.com,47.9,30,21,0,2008,20,2,0,2025,5,tldreg
ipsst.com,47.9,16,2167,0,2011,70,2,0,2024,5,tldreg
selenabil.com,47.7,68,1054,0,2003,49,0,0,2023,9,core2
farspayam.com,47.7,67,108,0,2003,344,1,0,2025,9,"core2,tf"
imobapp.com,47.7,64,358,0,2008,105,2,0,2025,7,"core2,tldreg,short"
tarikan.com,47.6,12,3261,0,2011,51,2,0,2025,7,tldreg
auralainen.com,47.5,161,26,0,2002,131,1,0,2002,10,"core1,tf"
mymacaws.com,47.5,80,205,0,2004,60,0,0,2021,8,"core1,short,tf"
dodsonworld.com,47.5,72,2751,0,2003,60,0,0,2025,11,"core2,tf"
tammna.com,47.4,135,3976,0,2013,56,0,0,2022,6,"core1,short,tf"
socialspew.com,47.4,64,151,0,2002,327,0,0,2025,10,core2
janhafstrom.com,47.4,12,32,2,2010,98,0,0,2025,11,wiki
funloadz.com,47.3,53,110,0,2010,114,2,0,2025,8,tldreg
nlpoptions.com,47.3,27,36,0,2008,122,2,0,2025,10,tldreg
sunnytoolz.com,47.2,79,6351,0,2007,101,0,0,2021,10,"core1,tf"
wessadams.com,47.2,78,20,0,2006,114,0,0,2025,9,core1
